CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
ALICIA KEYS,19207,GIRL ON FIRE ,She's just a girl and she's on fire,INT 6
ALICIA KEYS,19529,IF I AIN'T GOT YOU ,Some people live for the fortune,INT08B
ALICIA KEYS,20254,EMPIRE STATE OF MIND (PART II) BROKEN DOWN ,Oooh oh oh New York,INT 12D
ALIEN ANT FARM,4966,SMOOTH CRIMINAL ,Ough!,USA
ALINE BARROS,75546,A COMUNHÃO DA TUA GLÓRIA ,Musica Extra,@@
ALINE BARROS,1809,RESSUSCITA-ME ,Mestre eu preciso de um milagre,IMP20
ALINE BARROS,1878,"SONDA-ME, USA-ME ",Sonda-me Senhor e me conhece,IMP20
ALINE BARROS,9527,RECOMEÇAR ,Pai,IMP 13
ALINE BARROS,15488,DEUS EXTRAORDINÁRIO ,Em toda história não se ouviu falar de um,IMP26
ALINE BARROS,5605,CONSAGRAÇÃO ,Ao Rei dos Reis consagro tudo...,EVAN
ALINE BARROS,5610,FICO FELIZ ,Uu... Fico feliz em vir em Tua casa...,EVAN
ALINE BARROS,5615,JESUS CRISTO MUDOU MEU VIVER,Uei ê... Jesus Cristo mudou meu viver...,EVAN
ALINE BARROS,5616,JESUS FAZ PARTE ,Éeu pude crer e ver o seu poder...,EVAN
ALINE BARROS,2413,CARPINTEIRO ,Um carpinteiro um homem simples,EVAN04A
ALINE BARROS,2429,PODER PRA SALVAR ,Todos necessitam de um amor perfeito,EVAN04A
ALINE BARROS,2438,VENTO DO ESPÍRITO ,Ovento sopra só ele sabe para onde,EVAN04A
ALINE BARROS,2468,REI MEU ,Toda Terra está cheia da tua glória,EVAN04B
ALINE BARROS,2469,RENDIDO ESTOU ,Toma-me rendido estou,EVAN04B
ALINE BARROS,2948,AO ÚNICO ,Ao Único que é digno de receber,EVAN04C
ALINE BARROS,2499,SANTIDADE ,Omeu melhor quero Te dar me derramar,EVAN04C
ALINE BARROS,2964,ÁGUAS DO TRONO ,Águas que fluem do coração do Senhor,EVAN04D
ALINE BARROS,2967,APAIXONADO ,Você mudou meu jeito de pensar,EVAN04D
ALINE BARROS (CRIANÇAS),2450,DANÇA DO PINGUIM ,Éassim assim,EVAN04B
ALINE BARROS (CRIANÇAS),2455,HOMENZINHO TORTO ,Havia um homenzinho torto,EVAN04B
ALINE BARROS (CRIANÇAS),2465,PULA-PULA ,Hoje é dia de brincar pular dançar,EVAN04B
ALINE CALIXTO,2867,FLOR MORENA ,Flor morena que manda no meu coração 22C,@@
ALINNE ROSA,15650,COMPLICAMOS DEMAIS ,Se eu fechar meus olhos posso te ver,IMP 27
ALISSON E RYAN,1388,NÃO SOU SEU BRINQUED,Opára dá um tempo vê se larga do meu p,IMP17
ALL-4-ONE,4669,I SWEAR ,Iswear,EUA
ALLEN STONE,19231,SLEEP ,Spend my nights howlin' at the moon,INT 6
ALMIR GUINETO,75360,MEIGUICE DESCARADA ,Musica Extra,@@
ALMIR GUINETO,75547,AZUL DO MEU CÉU ,Musica Extra,@@
ALMIR GUINETO,17474,CAXAMBU ,Olha vamos na dança do Caxambu saravá j,IMP 38
ALMIR GUINETO E ALCIONE,75548,CHANTAGEM ,Musica Extra,@@
ALMIR GUINÉTO,16189,MEL NA BOCA ,Ohhh quanta mentira suportei 30B,@@
ALMIR ROGÉRIO,1508,MOTOQUEIRO ,Tudo certo para o nosso casamento,IMP 18
ALMIR ROGÉRIO,3877,FUSCÃO PRETO ,Me disseram que ela foi vista com,BRA
ALMIR SALER,4379,UM VIOLEIRO TOCA ,Quando uma estrela cai no escuridão da noite...,BRA
ALMIR SATER,1425,HORA DO CLARÃ,Oana raio e zé trovão diz a sabedori,IMP17
ALMIR SATER,9509,PEÃO ,Diga você me conhece eu já fui boiad,IMP 13
ALMIR SATER,9559,VARANDAS ,Anoite é um mistério que eu finjo co,IMP 13
ALMIR SATER,17462,BOIADA ,Ele foi levando boi um dia ele se foi no rastr,IMP 38
ALMIR SATER,2939,TRAVESSIA DO ARAGUAIA ,Naquele estradão deserto uma boiada 22 D8,@@
ALOK - BASTILLE,20515,RUN INTO TROUBLE ,Idrove past your house last night,INT14H
ALOK - BRUNO MARTINI,19820,HEAR ME NOW ,If you get to hear me now,INT10A
ALOK - IRO,20199,TABLE FOR 2 ,You don't need a million reason,INT12B
ALOK - MC DON JUAN - DJ. GBR,17306,LIBERDADE (QUANDO O GRAVE BATE FORTE) ,Faz uns dias que ela não sai agora que terminou,IMP 37
ALOK - SIGALA - ELLIE GOLDING,20581,ALL BY MYSELF ,Ilost my own belief always something breaking,INT14Q
ALPHAVILLE,2577,FOREVER YOUNG ,Let’s dance in style let’s dance for,EUA 4
ALPHAVILLE,9245,BIG IN JAPAN ,Winter's cityside...,USA 3
ALPHAVILLE,20507,SOUNDS LIKE A MELODY ,It's a trick of my mind two faces bathing in t,INT 14
ALTAY VELOSO,17055,ENTRA E SAI DE AMOR ,Baby a emoção me trouxe aqui 35D,@@
ALTEMAR DUTRA,75361,HINO AO AMOR ,Musica Extra,@@
ALTEMAR DUTRA,75362,OFERENDA ,Musica Extra,@@
ALTEMAR DUTRA,1610,MURMURA AO MAR ,Murmura o mar a derramar uma canção,IMP 18
ALTEMAR DUTRA,3540,SENTIMENTAL DEMAIS ,"Sentimental eu sou, eu sou demais",BRA
ALTEMAR DUTRA,3872,ESTÃO VOLTANDO AS FLORES ,Vê...Estão voltando as flores vê,BRA
ALTEMAR DUTRA,3926,O TROVADOR ,Sonhei que eu era um dia um,BRA
ALTEMAR DUTRA,4067,BRIGAS ,Veja só que tolice nós dois...,BRA
ALTEMAR DUTRA,4130,QUE QUERES TU DE MIM ,Que queres tu de mim?,BRA
ALTEMAR DUTRA,4465,BALADA TRISTE ,Balada triste que me faz lembrar alguém...,BRA
ALTEMAR DUTRA,6277,SOMOS IGUAIS ,Acabei de saber que você riu de mim...,BRA
ALTEMAR DUTRA,6422,MEU VELHO (MI VIEJO) ,Éum bom tipo meu velho e anda só...,BRA
ALTEMAR DUTRA,6496,MARIA HELENA ,Maria Helena és tu a minha inspiração…,BRA
ALTEMAR DUTRA,6608,CONTIGO APRENDI ,Contigo aprendi...,BRA
ALTEMAR DUTRA,7045,A PRETENDIDA ,Reclamas que te faltam meus carinhos,BRA
ALTEMAR DUTRA,7072,BLOCO DA SOLIDÃO ,Angústia solidão um triste adeus,BRA
ALTEMAR DUTRA,7128,EU SONHEI QUE TU ESTAVAS TÃO LINDA ,Eu sonhei que tu estavas tão linda,BRA
ALTEMAR DUTRA,7181,MODINHA ,Olho a rosa na janela sonho um sonho,BRA
ALTEMAR DUTRA,7268,VAI ANDORINHA ,Ao ver passar no céu as andorinhas,BRA
ALTEMAR DUTRA,9349,TUDO DE MIM ,De que é feito afinal esse seu coraç,IMP 13
ALTEMAR DUTRA,16090,COMO DESEJO TEU AMOR ,Como desejo teu amor quando me lembro 29D,@@
ALTEMAR DUTRA,17588,O FIM (THE END) ,Por onde tu andares na certa encontrarás 39C,@@
ALTEMAR DUTRA - MARTHA MENDONÇA,1800,VELHA COMPANHEIRA ,Não tenho ódio dentro do meu peito,IMP19
ALVARO TITO,5557,NÃO CHORE EVAN,,EVAN04B
ALVIM AND THE CHIPMUNKS,5883,CHRISTMAS DON'T BE LATE ,Christmas Christmas time is near,USA 3
ALÉM DO VÉU,2965,ALÉM DO VÉU ,Procurei de muitas formas alegrar seu,EVAN04D
ALÉM DO VÉU,2980,FILHOS DE DEUS ,Algo em nós nos torna diferentes,EVAN04D
ALÍPIO MARTINS,75363,OS PRESIDENCIAVEIS ,Musica Extra,@@
ALÍPIO MARTINS,75364,TIRA A CALCINHA ,Musica Extra,@@
ALÍPIO MARTINS,75365,VOCÊ TEM QUE PAGAR ,Musica Extra,@@
AMADO BATISTA,75366,ESTRELA DOS MEUS SONHOS ,Musica Extra,@@
AMADO BATISTA,1683,AMOR MEU LOUCO AMOR ,Além do teu olhar o que mais pode,IMP19
AMADO BATISTA,1921,NÃO QUERO FALAR COM ELA ,Se ela ligar outra vez,IMP20
AMADO BATISTA,2811,MUITOS COMPROMISSOS ,Quanto tempo você vai chorar por mim 22A,@@
AMADO BATISTA,4060,24 HORAS NO AR ,Pare de pensar em besteira,BRA
AMADO BATISTA,4230,COMO NA PRIMEIRA VEZ ,Quando o amor nos acontece...,BRA
AMADO BATISTA,4327,O POBRETÃO ,Que pena que eu não posso ser...,BRA
AMADO BATISTA,6353,SECRETÁRIA (ASSÉDIO SEXUAL) ,Ela chega tão meiga tão bela...,BRA
AMADO BATISTA,6941,MEU EX-AMOR ,Eu tive um amor amor tão bonito…,BRA
AMADO BATISTA,6975,RECLAMANDO SUA AUSÊNCIA ,Eu sei Foi o amor que fez…,BRA
AMADO BATISTA,7129,EU SOU SEU FÃ ,Quando você me quiser quando resolver,BRA
AMADO BATISTA,7496,AMANTES ,Já amanheceu,IMP 11
AMADO BATISTA,7583,DESISTO ,Rosto que beijei corpo que abracei,IMP 11
AMADO BATISTA,7656,O PRÍNCIPE ,Eu não esqueço,IMP 11
AMADO BATISTA,9355,VÁ EMBORA ,Vá embora do meu mundo,IMP 13
AMADO BATISTA,9417,CHUVA DE VENTO ,Vento que venta lá fora leva esta sau,IMP 13
AMADO BATISTA,9604,AMIGO FORTE ,Como é linda a vida quando vivida,IMP 14
AMADO BATISTA,9632,CARTA SOBRE A MESA ,Deixe-me renascer viver e crescer,IMP 14
AMADO BATISTA,9677,EU QUERO É NAMORAR ,Eu pensei,IMP 14
AMADO BATISTA,9880,SERESTEIRO DAS NOITES ,Existem momentos na vida que lembramo,IMP 14
AMADO BATISTA,15268,QUEM É VOCÊ ,Quem é você que me escreve cartas de amor imp 24,@@
AMADO BATISTA,15412,IMPÉRIO DOS SENTIDOS ,Eu venho num sonho bonito das cores,IMP25
AMADO BATISTA,15562,AGORA OU NUNCA MAIS ,Sou um amor passageiro que está,IMP26
AMADO BATISTA,15633,TRAVESSEIRO AZUL ,Tanto faz se é noite ou dia uma luz me,IMP26
AMADO BATISTA,16141,O NEGÓCIO DA CHINA ,Eu vou levar você pra comer no meu apê 30A,@@
AMADO BATISTA,16515,FOLHA SECA ,Fazia um dia bonito quando ela chegou 32A,@@
AMADO BATISTA,16630,SERENATA ,Ah como eu queria 33A,@@
AMADO BATISTA,16706,MENININHA MEU AMOR ,Eu não consigo esquecer de você 33C,@@
AMADO BATISTA,16784,DESLIGA A LUZ E O TELEFONE ,Olha amor eu vim de longe pra te ver 34A,@@
AMADO BATISTA,16867,O JULGAMENTO ,Sempre quando eu voltava para o lar 34C,@@
AMADO BATISTA,16993,VEM MORENA ,Vem morena vem vem amar 35B,@@
AMADO BATISTA,17240,TUM TUM DE SAUDADE ,"Às vezes a minha cabeça parece faltar parafuso 36N,",@@
AMADO BATISTA,3856,PRINCESA ,Ao te ver pela primeira vez...,BRA
AMADO BATISTA,6625,O FRUTO DO NOSSO AMOR (AMOR PERFEITO) ,Amor perfeito existia entre nóis dois...,BRA
AMADO BATISTA - ELIAS WAGNER AMADO BATISTA - REGINALDO,17140,SOU IGUALZINHO A VOCE ,Todo dia a mesma coisa tudo era sempre igual 36D,@@
AMADO BATISTA AMADO,16347,CHANCE ,Quero te dizer baixinho com todo carinho 31B,@@
AMANDA MAGALHAES - SEU JORGE,16680,SAIBA ,Amar voce e tao facil 32B,@@
AMARANTE,2799,O QUE SE QUER ,Vá pode falar pode escrever 22A,@@
AMELINHA,3796,FREVO MULHER ,"Quantos aqui ouvem, os olhos",BRA
AMELINHA,3876,FOI DEUS QUEM FEZ VOCÊ ,Foi Deus que fez o céu o rancho das,BRA
AMELINHA,9288,"MULHER NOVA, BONITA E CARINHOSA ",Numa luta de gregos e troianos,IMP 13
AMERICA,2558,TIN MAN ,Sometimes late when things are real,EUA 4
AMERICA,2630,SISTER GOLDEN HAIR ,Well I tried to make it Sunday,EUA 4
AMERICA,5918,I NEED YOU ,We used to laugh we used to cry,USA 3
AMERICA,5935,LONELY PEOPLE ,This is for all the lonely people,USA 3
AMERICA,5997,VENTURA HIGHWAY ,Chewing on a piece of grass,USA 3
AMERICA,9083,A HORSE WITH NO NAME ,On the first part of the journey….,EUA
AMERICA,20145,YOU CAN DO MAGIC ,Inever believed in things,INT12A
AMESTRADOS - PAULA TOLLER,2916,MATINÊ NO RIAN ,Eu por você sou capaz de mudar 22D,@@
AMESTRADOS JOÃO PENCA E SEUS MIQUINHOS,15552,PAPA UMA MA ,Vou papa uma ma..ninguém sabe de onde veio,IMP26
AMII STEWART,4929,KNOCK ON WOOD ,Idon't want to lose you,USA
AMY GRANT,19384,I'LL BE HOME FOR CHRISTMAS I,'m dreaming tonight of a place I love,INT 7
AMY LEE,19762,DREAM TOO MUCH ,There's a monkey in the band,INT09D
AMY WINEHOUSE,2541,BACK TO BLACK ,He left no time to regret,EUA 4
AMY WINEHOUSE,2546,LOVE IS A LOSING GAME ,For you I was the flame,EUA 4
AMY WINEHOUSE,2550,YOU KNOW I’M NO GOOD ,Meet you downstairs in the bar and heard,EUA 4
AMY WINEHOUSE,5959,REHAB ,They tried to make me go to rehab,USA 3
AMY WINEHOUSE,5985,TEARS DRY ON THEIR OWN ,All I can ever be to you,USA 3
AMY WINEHOUSE,19596,VALERIE ,Well sometimes I go out by myself,INT08C
ANA CANÃS,1552,ESCONDERIJO ,Procuro a solidão como o ar procura,IMP 18
ANA CAROLINA,1179,VA,Iespera aí,IMP 16
ANA CAROLINA,1481,10 MINUTOS ,Por que você não atende as minhas,IMP 18
ANA CAROLINA,1654,DOIS BICUDOS ,Quando te vi andava tão desprevenido,IMP19
ANA CAROLINA,2739,PROBLEMA,Squalquer distância entre nós,IMP 21
ANA CAROLINA,2818,"TÁ RINDO, É? ",Ah hoje eu quebrei o meu despertador 22A,@@
ANA CAROLINA,2931,SIMPLESMENTE ACONTECEU ,Simplesmente aconteceu 22D,@@
ANA CAROLINA,4316,GARGANTA ,Minha garganta estranha quando...,BRA
ANA CAROLINA,6109,QUEM DE NÓS DOIS ,Eu e você não é assim tão complicado..,BRA
ANA CAROLINA,6413,ELA É BAMBA ,Ela é bamba ela é bamba....,BRA
ANA CAROLINA,6694,ENCOSTAR NA TUA ,Eu quero te roubar pra mim...,BRA
ANA CAROLINA,6757,UMA LOUCA TEMPESTADE ,Eu quero uma Lua plena eu quero...,BRA
ANA CAROLINA,6827,NUA ,Olho a cidade ao redor e nada me,BRA
ANA CAROLINA,7348,ELEVADOR ,Pra que te espero de braços,BRA
ANA CAROLINA,7629,MAIS QUE ISSO ,Eu não vou gostar de você,IMP 11
ANA CAROLINA,7694,ROSAS ,Você pode me ver do jeito que quiser,IMP 11
ANA CAROLINA,7891,A CANÇÃO TOCOU NA HORA ERRADA ,Acanção tocou na hora errada,IMP 12
ANA CAROLINA,7921,CARVÃO ,Surgiu como um clarão,IMP 12
ANA CAROLINA,7932,CONFESSO ,Confesso acordei achando tudo indife,IMP 12
ANA CAROLINA,7975,HOJE EU TÔ SOZINHA ,Hoje eu tô sozinha e não aceito cons,IMP 12
ANA CAROLINA,9334,RUAS DE OUTONO ,Nas ruas de outono,IMP 13
ANA CAROLINA,9393,AQUI ,Aqui,IMP 13
ANA CAROLINA,9443,É MÁGOA ,Émágoa,IMP 13
ANA CAROLINA,9488,NADA PRA MIM ,Eu não vim aqui pra entender ou expli,IMP 13
ANA CAROLINA,9521,QUE SE DANEM OS NÓS ,Vim gastando meus sapatos,IMP 13
ANA CAROLINA,9676,EU QUE NÃO SEI QUASE NADA DO MAR ,Garimpeira da beleza,IMP 14
ANA CAROLINA,9898,TOLERÂNCIA ,Como água no deserto,IMP 14
ANA CAROLINA,15288,COMBUSTÍVEL ,Fiz de você meu combustível meu imp 24,@@
ANA CAROLINA,15701,LIBIDO ,No anúncio da revista ou na obra de arte,IMP 27
ANA CAROLINA,16025,COISAS ,Omeu corpo me deixa confusa quando o seu olhar 29B,@@
ANA CAROLINA,16544,NÃO TEM NO MAPA ,Às vezes eu me chamo por aí 32C,@@
ANA CAROLINA,16886,PRA TERMINAR ,Pra começar Dizer que o amor 34D,@@
ANA CAROLINA - CHIARA,15357,UN SUEÑO BAJO EL AGUA ,Fios elétricos luvas,IMP 25
ANA CAROLINA E JOHN LEGEND,1671,ENTREOLHARES ,Se ficar assim me olhando,IMP19
ANA CAROLINA E MARIA GADÚ,2692,MAIS QUE A MI,Mouvi dizer que você tá bem que já tem,IMP 21
ANA CAROLINA E SEU JORGE,7114,É ISSO AÍ ,Éisso aí...,BRA
ANA CASTELA,75478,CASALZÃOHUGO E HEITOR - CASALZÃO ,Musica Extra,@@
ANA CASTELA,75479,NEON ,Musica Extra,@@
ANA CASTELA,75480,NÃO VAI VER NUNCA ,Musica Extra,@@
ANA CASTELA,75481,NÓIS É DA ROÇA BEBÊ ,Musica Extra,@@
ANA CASTELA,75549,SOLTEIRO FORÇADO ,Musica Extra,@@
ANA CASTELA,17697,NOSSO QUADRO ,Todo mundo tem um amor que quando deita 39P,@@
ANA CASTELA,17731,DONA DE MIM ,Palhaço decepção em cima de decepção40B,@@
ANA CASTELA,17778,SOLTEIRO FORÇADO ,Tá difícil não te ver aqui quando eu acordo40F,@@
ANA CASTELA,17812,BOIADEIRA ,Depois que me conheceu já quis se mudar 40K,@@
ANA CASTELA - MELODY - DJ CHRIS NO BEAT,17538,PIPOCO ,Olá rapazes aqui é a boiadeira estão preparados,IMP 38
ANA CASTELA BELLE KAFFER CHARLES NEW,75482,NÃO PARA ,Musica Extra,@@
ANA CASTELA CESAR MENOTTI E FABIANO -,17784,EU SEM VOCÊ NÃO DÁ ,Debaixo do mesmo céu respirando o mesmo ar 40G,@@
ANA CASTELA CÉSAR MENOTTI E FABIANO,75483,EU SEM VOCÊ NÃO DÁ ,Musica Extra,@@
ANA CASTELA GUILHERME E BENUTO E ADRIANO,75484,DUAS TRÊS ,Musica Extra,@@
ANA CASTELA HITMAKER,75485,REVERSE ,Musica Extra,@@
ANA CASTELA PEDRO SAMPAIO,75486,CARINHA DE BEBÊ ,Musica Extra,@@
ANA CAÑAS,1981,A AN,Aahn ahn ahn ahn,IMP 21
ANA CAÑAS,15272,SERÁ QUE VOCÊ ME AMA? ,Tudo do avesso tudo certo tudo no começo imp 24,@@
ANA CAÑAS,15885,TE VER FELIZ ,Na nara na... Eu não tenho uma letra,IMP28
ANA CLARA - ATITUDE 67,16517,PÁGINA MARCADA ,Você diz que sabe tudo mas de mim não sabe nada 32A,@@
ANA E MÚ,1708,QUANDO A GENTE AMA PRA VALER,Quando a gente ama não há nada que,IMP19
ANA GABRIELA - MELIM,17077,"NÃO TE LARGO, NÃO TE TROCO ",Sabe quando a gente fica bobo 35D,@@
ANA VILELA,16157,TREM-BALA ,Não é sobre ter todas as pessoas do mundo 30A,@@
ANA VILELA,16298,PROMETE ,Prometa que não vai crescer distante 31A,@@
ANA VILELA,16717,PRA NÃO TE ACORDAR ,Sorte é ver você sorrindo 33C,@@
ANACAROLINA,6870,PRA RUAM ELEVA ,Não vou viver...,BRA 9
ANALAGA,17024,CHEGA DIFERENTE Ê,-iê-iê... Chega diferente sempre na moral 35C,@@
ANAVITÓRIA,16086,AGORA EU QUERO IR ,Encontrei descanso em você me arquitetei 29D,@@
ANAVITÓRIA,16149,SINGULAR ,Étão singular o jeito que me observa acordar 30A,@@
ANAVITÓRIA,16219,DENGO ,Ôdengo me fala tudo sobre o mundo 30C,@@
ANAVITÓRIA,16371,"AI, AMOR ",Ei fiz questão da promessa lembrar 31C,@@
ANAVITÓRIA,16836,PORQUE EU TE AMO ,Eu poderia acordar sem teu olhar de sono 34B,@@
ANAVITÓRIA,16927,NÓS ,Se for ficar fica de uma vez não 35A,@@
ANAVITÓRIA,17208,TE AMAR É MASSA DEMAIS ,"Te amar é massa demais é tem barulho fé36K,",@@
ANAVITÓRIA - DUDA BEAT,17019,NÃO PASSA VONTADE ,Quando é que você chega amor 35C,@@
ANAVITÓRIA - JORGE E MATEUS,17315,GELEIRA DO TEMPO ,Não te conheço tão no fundo pra entender,IMP 37
ANAVITÓRIA - MATHEUS E KAUAN,16206,FICA ,Mapeei a dedo tuas sardas 30C,@@
ANAVITÓRIA - RITA LEE,17121,"AMARELO, AZUL E BRANCO ",Deixa eu me apresentar 36B,@@
ANAVITÓRIA - TIAGO IORC,16169,TREVO (TU) ,Tu é trevo de quatro folhas 30B,@@
ANAVITÓRIA - VITOR KLEY,16548,PUPILA ,Como que eu vou dizer pra ela 32C,@@
ANDERSON FREIRE,16073,RARIDADE ,Não consigo ir além do teu olhar 29C,@@
ANDERSON FREIRE E BRUNA KARLA,2456,IDENTIDADE ,Não vou negar quem sou não há máscara,EVAN04B
ANDRA DAY,20197,RISE UP ,You're broken down and tirned,OINT12B
ANDREA BOCELLI,4150,CON TE PARTIRO ,Quando sono solo sogno all'orizzonte,BRA
ANDRU DONALDS,19395,SAVE ME NOW ,Here I am in a place that I,INT 7
ANDRU DONALDS,20274,MISHALE ,From the first time that I loved you,INT 12D
ANDRÉ VALADÃO,2427,PELA FÉ ,Oh oh oh oh oh oh oh pela fé posso,EVAN04A
ANDRÉ VALADÃO,2470,SE EU ME HUMILHAR ,Neste lugar Tu és real,EVAN04B
ANDRÉ VALADÃO,2480,VOU CRER ,Colocar minha fé em Ti,EVAN04B
ANDY GIBB,2525,I JUST WANT TO BE YOUR EVERYTHING ,For so long,EUA 4
ANDY WILLIAMS,4538,LOVE STORY ,Where do I begin? To tell the,EUA
ANDY WILLIAMS,4539,MOON RIVER ,Moon River wider than a mile,EUA
ANDY WILLIAMS,4581,HAWAIIAN WEDDING SONG ,This is the moment I've waited for,EUA
ANDY WILLIAMS,4595,MORE ,More than the greatest love the world,EUA
ANDY WILLIAMS,5988,THE IMPOSSIBLE DREAM ,To dream the impossible dream,USA 3
ANGELA MARIA,1276,TANGO PRA TEREZ,Ahoje alguém pôs a rodar um disco de g,IMP 16
ANGELA RÔ RÔ,15896,ESCÂNDALO ,Mas doce irmã que que você quer mais,IMP28
ANGELO MÁXIMO,6561,A PRIMEIRA NAMORADA ,Achuva já molhou a rua…,BRA
ANGÉLICA,1493,BLUE JEANS ,Vocês não vão acreditar,IMP 18
ANGÉLICA,1621,PRIMEIRO AMOR (IF) ,Se você quiser saber quem sou,IMP 18
ANGÉLICA,1820,VOU DE TÁXI ,Pela janela do meu quarto,IMP20
ANGÉLICA,3429,MAGIA ,Sol de verão queimando no meu corpo,BRA
ANGÉLICA,3993,CIÚME ,Eu queria entender direito essa,BRA
ANGÉLICA,4217,TERRA DO NUNCA ,"Lápis de cor, bicicleta, bombom...",BRA
ANGÉLICA,4361,MEU HERÓI ,Ele é meu herói príncipe encantado...,BRA
ANIMALS,4552,THE HOUSE OF THE RISING SUN ,There is house in New Orleans,EUA
ANIMALS,4623,DON'T LET ME BE MISUNDERSTOOD,Baby do you understand me now,EUA
ANITA BAKER,9176,SWEET LOVE ,With all my heart I love you baby…,EUA
ANITA WARD,19808,RING MY BELL I,'m glad you're home,INT10A
ANITTA,15192,SHOW DAS PODEROSAS ,Prepara que agora é hora do show das imp 24,@@
ANITTA,15302,MENINA MÁ ,Me olha e deseja que eu veja mas já digo imp 24,@@
ANITTA,15307,NÃO PARA ,Hoje cê pode chegar que eu tô querendo imp 24,@@
ANITTA,15320,ZEN ,Ohh ... Olha cê me faz tão bem só de imp 24,@@
ANITTA,15341,MEIGA E ABUSADA ,Eu posso conquistar tudo o que eu que,IMP 25
ANITTA,15603,"BLÁ, BLÁ, BLÁ ",Vou rebolar só porque você não gosta se,IMP26
ANITTA,15707,NA BATIDA ,Não dá mole vem pra cá não tem hora pra acabar,IMP 27
ANITTA,15748,RITMO PERFEITO ,Sei lá o que será que você tem só sei que,IMP 27
ANITTA,15882,BANG ,Vem na maldade com vontade,IMP28
ANITTA,15991,NO MEU TALENTO ,Chega fecha o closet na maldade que hoje eu vou 29A,@@
ANITTA,16254,PARADINHA ,Yo te quiero ver enloquecer,30D
ANITTA,16437,NÃO PERCO MEU TEMPO ,Olha só te falei desse jeito não vai rolar 31D,@@
ANITTA,16637,PANTERA ,Te avisaram do perigo que é pra ter cuidado 33A,@@
ANITTA,20612,BOYS DON'T CRY ,Sometimes I call you when I can't sleep alone 15B,@@
ANITTA,15883,DEIXA ELES SOFRER ,Deixa ele chorar de deixa ele chorar,IMP 2810
ANITTA - CAETANO VELOSO,16540,VOCÊ MENTIU ,Você mentiu 32C,@@
ANITTA - JHAMA,15923,ESSA MINA É LOUCA ,Essa mina é louca quando eu tô bolado,IMP28
ANITTA - LEXA - LUISA SONZA - MC REBECCA,16673,COMBATCHY ,Agora vai comecar o combatchy 32B,@@
ANITTA - LUDMILLA - SNOOP DOGG - PAPATINHO,16618,ONDA DIFERENTE ,Anoite está cada vez melhor 33A,@@
ANITTA - MALUMA,16114,SIM OU NÃO ,Se quiser jogar vem 29D,@@
ANITTA - MARÍLIA MENDONÇA,16649,SOME QUE ELE VEM ATRÁS ,Amiga do céu meu boy me largou 32B,@@
ANITTA - MC CABELINHO,16704,ATÉ O CÉU ,Eolha como ela chegou de um jeito doce33C,@@
ANITTA - MC DANNY - HITMAKER,17672,AI PAPAI ,Te avisei que ia ser uma vez 39M,@@
ANITTA - MC KEVINHO,16480,TERREMOTO ,Essa mina é sem vergonha 32A,@@
ANITTA - MELIM,16694,MEU MEL ,Meu mel lembra aquele quarto de hotel33C,@@
ANITTA - PABLLO VITTAR - MAJOR LAZER,16250,SUA CARA ,Você prepara mas não dispara,30D
ANITTA - PEDRO SAMPAIO,17345,NO CHÃO NOVINHA ,Especialmente pra todas elas fiz esse beat,IMP 37
ANITTA - PROJOTA,15649,COBERTOR ,Eu sei que o tempo afastar a gente mas,IMP 27
ANITTA - PSIRICO,16742,JOGAÇÃO ,Chamei as amigas pro baile 33D,@@
ANITTA - VITIN,16017,CRAVO E CANELA ,Tão bela ela é linda de verdade 29B,@@
ANITTA HITMAKER,75487,NU ,Musica Extra,@@
ANITTA-MC ZAAC-MAEJOR-TROPKILLAZ-DJ YURI,16728,VAI MALANDRA ,Vai malandra an an 33D,@@
ANNA KENDRICK,19166,"CUPS (PITCH PERFECT'S ""WHEN I'M GONE"") ",Igot my ticket for the long way round,INT 6
ANNE DUÁ,7156,INDECENTE ,Não há santo que aguente,BRA
ANNE MURRAY,9238,YOU NEEDED ME ,Icried a tear you wiped it dry....,USA 3
ANNIE LENNOX,4745,NO MORE I LOVE YOU ,Iused to be lunatic from the gracious...,EUA
ANNIE LENNOX,20368,WHY ,Why why... How many times do I have to try,INT 13
ANNIE LENNOX & AL GREEN,9155,PUT A LITTLE LOVE IN YOUR HEART,Think of your fellow man lend him a help…,EUA
ANTONIO FAGUNDES,4427,CANTO ALEGRETENSE ,Não me perguntes onde fica º..,BRA
ANTONIO MARCOS,2934,SOU EU ,Eu não quero nunca mais 22D,@@
ANTONY E GABRIEL,16290,TE AMANDO MAIS QUE PINGA ,Ela acorda cedo e eu meio-dia 31A,@@
ANTÔNIO CARLOS E JOCAFI,3549,VOCÊ ABUSOU ,Você abusou tirou partido de mim,BRA
ANTÔNIO CARLOS E JOCAFI,6908,DESACATO ,Inesquecível aquele amor que nem…,BRA
ANTÔNIO CARLOS E JOCAFI,6986,TEIMOSA ,Nas peripécias do amor teimosa…,BRA
ANTÔNIO MARCOS,1376,CARA A CAR,Acara a cara cara a cara cara a cara,IMP17
ANTÔNIO MARCOS,1397,QUEM DÁ MAI,Seu quero me ver,IMP17
ANTÔNIO MARCOS,1618,ORAÇÃO DE UM JOVEM TRISTE ,Eu tanto ouvia falar em ti,IMP 18
ANTÔNIO MARCOS,4376,SONHOS DE UM PALHAÇO ,Vejam só que história boba eu tenho pra contar...,BRA
